ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,RATE
102,15502828,395185,2432028,10560043.0,25271554,2488.07,4942785,112153.0,765.8,52543.0,209066.0,48.0,12.0,1.17,56.32,-0.48,-2.47e-05,-0.48,1.56,15.69,0.71,68.12,10.55,MED,NO,-9.7056,-14.7,16.05,0.0757,VTKGN,-1.53,1.35,1.98,2.08,12.25,10.21,1.22,4.4206,-0.2186,B
343,142798094,41704189,55100678,87061505.0,182798367,36247.47,55736589,263186.0,626.02,20570001.0,19543248.0,4021.0,24.0,16.2,44.54,0.88,2.87e-05,0.97,1.31,38.59,25.74,60.97,20.74,HIGH,YES,-0.2724,9.9,25.38,0.664,VTKGN,13.59,14.67,25.12,82.71,78.71,18.3,10.71,1.8797,0.119,B
407,42273308,9082199,26204830,18561405.0,32787980,15777.47,23711904,86666.0,194.01,1534209.0,2490724.0,305.0,32.0,5.05,43.12,1.04,1.44e-05,1.03,2.62,61.99,?,43.91,11.61,LOW,NO,-1.1814,0.92,37.32,2.6943,VTKGN,11.62,5.87,12.87,35.68,84.53,12.17,11.09,1.1504,-0.0456,B
950,37158119,2421374,6262830,19428247.0,33602057,6950.75,17729872,82913.0,294.75,2913511.0,2283189.0,893.0,34.0,9.33,19.94,0.39,7.45e-06,0.41,1.6,16.85,29.94,52.29,26.37,VHIGH,NO,1.3549,-2.65,18.71,0.101,VTKGN,18.02,6.56,11.75,20.89,16.13,20.88,6.69,3.3327,0.0135,D
848,20762774,2948439,15126377,10011602.0,10888065,4352.99,10751172,38454.0,213.49,1026498.0,1907537.0,412.0,8.0,5.44,36.03,1.66,1.69e-05,1.76,8.05,72.85,?,48.22,0.12,HIGH,NO,-0.3523,0.24,20.97,0.9976,VTKGN,12.24,9.19,19.05,40.57,80.46,21.84,18.7,0.8287,0.004,C
101,197083121,28919915,69671527,95350232.0,312395715,24516.56,101732889,1240116.0,490.42,13828001.0,6369383.0,1280.0,26.0,8.06,39.76,0.44,1.36e-05,0.45,1.72,35.35,17.87,48.38,35.45,VHIGH,NO,1.3489,-2.12,12.44,0.1596,VTKGN,7.42,3.43,6.78,48.87,31.39,12.95,2.84,1.4334,0.0931,C
372,13232134,5094555,6607540,?,7457709,3820.5,1972356,87497.0,177.56,1585832.0,1254673.0,215.0,8.0,12.44,57.89,1.36,5.13e-05,1.65,18.09,49.94,6.25,85.09,19.89,HIGH,YES,2.7554,16.06,28.87,0.1355,VTKGN,15.11,9.48,11.14,44.05,39.45,48.35,19.04,1.7779,0.1809,C
287,31380586,966560,12601695,5965860.0,22173819,275.32,25414726,103916.0,764.61,-1546919.0,-3700832.0,-344.0,19.0,-4.01,3.31,4.33,3.78e-05,3.1,3.64,40.16,59.19,19.01,5.63,HIGH,NO,-0.31,-15.88,0.88,3.3452,VTKGN,-3.33,-11.29,-51.12,-27.51,-73.82,22.38,-18.72,1.9663,0.0256,D
540,251914405,64642926,116862741,221124692.0,178257954,57144.19,30789714,85702.0,144.46,21269837.0,23574878.0,1161.0,32.0,11.21,86.0,-3.17,-0.000184,-3.53,3.22,46.39,1.82,87.78,17.54,VHIGH,YES,-0.0927,8.74,22.68,0.3812,VTKGN,-4.53,9.78,11.17,184.81,271.83,19.23,17.55,1.9297,0.0778,A
75,25466433,4899014,8237922,8997044.0,5060761,-6253.04,16469389,121521.0,68.39,-6117468.0,-9673650.0,-413.0,16.0,-25.29,-15.57,6.67,2.05e-05,2.25,4.71,32.35,48.35,35.33,12.16,LOW,NO,0.0764,-14.59,-24.55,0.6794,VTKGN,-27.67,-40.61,-69.73,-47.19,-73.91,-31.59095783,-189.31,2.1611,-0.2371,C
